image_path,gender,articleType,baseColour
dataset/images/3351.jpg,Men,Tshirts,White
dataset/images/21444.jpg,Women,Tshirts,Cream
dataset/images/14858.jpg,Women,Wallets,Red
dataset/images/25858.jpg,Unisex,Laptop Bag,Grey
dataset/images/55097.jpg,Women,Face Moisturisers,Gold
dataset/images/48602.jpg,Women,Earrings,Silver
dataset/images/9509.jpg,Men,Track Pants,Grey
dataset/images/48231.jpg,Women,Sunglasses,Brown
dataset/images/33709.jpg,Men,Formal Shoes,Brown
dataset/images/57366.jpg,Women,Briefs,Pink
dataset/images/3949.jpg,Women,Tops,White
dataset/images/50641.jpg,Men,Innerwear Vests,Grey
dataset/images/4445.jpg,Men,Sports Shoes,Black
dataset/images/55430.jpg,Women,Lipstick,Peach
dataset/images/13900.jpg,Men,Sports Shoes,Black
dataset/images/3181.jpg,Men,Sports Shoes,Grey
dataset/images/12194.jpg,Men,Tshirts,Blue
dataset/images/24065.jpg,Men,Shirts,Green
dataset/images/46493.jpg,Men,Watches,Brown
dataset/images/56082.jpg,Women,Lip Gloss,Red
dataset/images/48313.jpg,Women,Bracelet,Gold
dataset/images/58684.jpg,Women,Kurtas,Beige
dataset/images/3411.jpg,Women,Tshirts,Black
dataset/images/39870.jpg,Women,Heels,Gold
dataset/images/45295.jpg,Women,Watches,Silver
dataset/images/9586.jpg,Unisex,Handbags,Pink
dataset/images/12973.jpg,Men,Sports Shoes,White
dataset/images/39674.jpg,Men,Sports Shoes,White
dataset/images/10202.jpg,Women,Handbags,Green
dataset/images/33112.jpg,Women,Casual Shoes,Black
dataset/images/19797.jpg,Men,Tshirts,Grey
dataset/images/42555.jpg,Women,Kurtas,Purple
dataset/images/33399.jpg,Women,Handbags,Purple
dataset/images/52927.jpg,Women,Sarees,Blue
dataset/images/42262.jpg,Men,Jeans,Blue
dataset/images/32615.jpg,Men,Belts,Black
dataset/images/2338.jpg,Men,Tshirts,White
dataset/images/34626.jpg,Women,Watches,Silver
dataset/images/5994.jpg,Men,Shirts,Grey
dataset/images/19744.jpg,Men,Jackets,Green
dataset/images/52128.jpg,Girls,Dresses,Blue
dataset/images/12987.jpg,Men,Casual Shoes,Black
dataset/images/49782.jpg,Women,Night suits,Pink
dataset/images/12090.jpg,Women,Kurtas,Cream
dataset/images/38347.jpg,Boys,Tshirts,White
dataset/images/38739.jpg,Unisex,Backpacks,Black
dataset/images/44102.jpg,Men,Perfume and Body Mist,Black
dataset/images/27608.jpg,Men,Trousers,Black
dataset/images/42138.jpg,Men,Sports Shoes,Black
dataset/images/11778.jpg,Men,Tshirts,Grey
dataset/images/59753.jpg,Women,Briefs,White
dataset/images/35554.jpg,Girls,Sandals,Pink
dataset/images/21471.jpg,Women,Casual Shoes,Purple
dataset/images/43614.jpg,Women,Tunics,Pink
dataset/images/33737.jpg,Women,Handbags,Black
dataset/images/59104.jpg,Men,Rain Jacket,Brown
dataset/images/6159.jpg,Men,Tshirts,Black
dataset/images/54389.jpg,Women,Wallets,Yellow
dataset/images/4016.jpg,Men,Casual Shoes,Maroon
dataset/images/48386.jpg,Men,Jeans,Black
dataset/images/33280.jpg,Unisex,Jeans,Blue
dataset/images/54885.jpg,Women,Necklace and Chains,Blue
dataset/images/26498.jpg,Men,Tshirts,Grey
dataset/images/30756.jpg,Men,Kurtas,Green
dataset/images/19601.jpg,Women,Tops,Peach
dataset/images/10504.jpg,Women,Tshirts,White
dataset/images/33353.jpg,Men,Formal Shoes,Black
dataset/images/4636.jpg,Men,Sports Shoes,White
dataset/images/19670.jpg,Women,Tshirts,Olive
dataset/images/41221.jpg,Men,Flip Flops,Blue
dataset/images/47078.jpg,Women,Patiala,Multi
dataset/images/56503.jpg,Women,Nail Polish,Red
dataset/images/46476.jpg,Women,Watches,White
dataset/images/14702.jpg,Men,Jackets,Black
dataset/images/20230.jpg,Women,Sweaters,Grey
dataset/images/25150.jpg,Women,Handbags,Black
dataset/images/52155.jpg,Women,Dresses,Purple
dataset/images/11998.jpg,Men,Shirts,White
dataset/images/24630.jpg,Women,Flip Flops,Blue
dataset/images/43267.jpg,Women,Kurtas,Orange
dataset/images/7756.jpg,Men,Tshirts,Black
dataset/images/56461.jpg,Women,Nail Polish,Nude
dataset/images/5796.jpg,Men,Tshirts,Green
dataset/images/39385.jpg,Men,Jeans,Grey
dataset/images/50763.jpg,Men,Sandals,Navy Blue
dataset/images/3704.jpg,Women,Tshirts,Navy Blue
dataset/images/7783.jpg,Men,Track Pants,Black
dataset/images/17713.jpg,Men,Shirts,Blue
dataset/images/17960.jpg,Men,Sandals,Black
dataset/images/24163.jpg,Women,Kurtas,Navy Blue
dataset/images/3395.jpg,Women,Handbags,Red
dataset/images/3888.jpg,Men,Tshirts,Grey
dataset/images/31936.jpg,Women,Tunics,Blue
dataset/images/46034.jpg,Women,Jewellery Set,Gold
dataset/images/48037.jpg,Men,Watches,Black
dataset/images/56122.jpg,Women,Foundation and Primer,Skin
dataset/images/29109.jpg,Women,Socks,Purple
dataset/images/7874.jpg,Men,Formal Shoes,Tan
dataset/images/49924.jpg,Women,Sarees,Green
dataset/images/6626.jpg,Men,Sports Shoes,Blue
dataset/images/57492.jpg,Men,Casual Shoes,Brown
dataset/images/48124.jpg,Women,Belts,Brown
dataset/images/49246.jpg,Men,Caps,Red
dataset/images/48163.jpg,Women,Wallets,Blue
dataset/images/46505.jpg,Men,Watches,Gold
dataset/images/42067.jpg,Men,Wallets,Black
dataset/images/18707.jpg,Women,Briefs,Pink
dataset/images/26023.jpg,Men,Deodorant,Silver
dataset/images/4352.jpg,Men,Tshirts,White
dataset/images/13516.jpg,Women,Skirts,Blue
dataset/images/40943.jpg,Girls,Tops,Pink
dataset/images/59669.jpg,Women,Sarees,Yellow
dataset/images/15666.jpg,Unisex,Backpacks,Black
dataset/images/10102.jpg,Men,Sports Shoes,Black
dataset/images/16393.jpg,Men,Shirts,Black
dataset/images/11897.jpg,Men,Formal Shoes,Brown
dataset/images/22220.jpg,Women,Tshirts,White
dataset/images/45843.jpg,Women,Kurtas,White
dataset/images/8072.jpg,Women,Sports Shoes,Grey
dataset/images/22003.jpg,Women,Handbags,Blue
dataset/images/11495.jpg,Women,Flats,Grey
dataset/images/49799.jpg,Men,Caps,Black
dataset/images/44548.jpg,Men,Sandals,Black
dataset/images/19907.jpg,Unisex,Backpacks,Red
dataset/images/56029.jpg,Women,Lipstick,Maroon
dataset/images/53689.jpg,Women,Handbags,Yellow
dataset/images/19870.jpg,Men,Flip Flops,White
dataset/images/35044.jpg,Women,Kurtas,Black
dataset/images/3873.jpg,Men,Tshirts,Blue
dataset/images/43920.jpg,Women,Dresses,Cream
dataset/images/14633.jpg,Women,Tops,Green
dataset/images/5582.jpg,Men,Sports Shoes,White
dataset/images/3044.jpg,Men,Tshirts,Blue
dataset/images/58977.jpg,Men,Deodorant,Silver
dataset/images/39875.jpg,Unisex,Messenger Bag,Brown
dataset/images/22579.jpg,Women,Sweatshirts,Black
dataset/images/12040.jpg,Men,Shirts,Blue
dataset/images/49501.jpg,Men,Casual Shoes,Navy Blue
dataset/images/4607.jpg,Unisex,Backpacks,Blue
dataset/images/45982.jpg,Women,Tops,Blue
dataset/images/34340.jpg,Men,Tshirts,Purple
dataset/images/47676.jpg,Women,Dresses,Black
dataset/images/48416.jpg,Men,Tshirts,Blue
dataset/images/20454.jpg,Women,Belts,Teal
dataset/images/6304.jpg,Unisex,Flip Flops,Red
dataset/images/25711.jpg,Unisex,Caps,Pink
dataset/images/47006.jpg,Women,Kurtis,Multi
dataset/images/47166.jpg,Men,Belts,Brown
dataset/images/12441.jpg,Men,Wallets,Black
dataset/images/36227.jpg,Men,Casual Shoes,Brown
dataset/images/28439.jpg,Women,Watches,White
dataset/images/35900.jpg,Women,Handbags,Green
dataset/images/3418.jpg,Men,Tshirts,Black
dataset/images/15530.jpg,Men,Tshirts,Blue
dataset/images/57016.jpg,Men,Briefs,Blue
dataset/images/42175.jpg,Men,Tshirts,White
dataset/images/46920.jpg,Men,Perfume and Body Mist,Black
dataset/images/30172.jpg,Men,Watches,Black
dataset/images/48178.jpg,Women,Handbags,Teal
dataset/images/24724.jpg,Men,Tshirts,Blue
dataset/images/49524.jpg,Women,Clutches,Purple
dataset/images/52953.jpg,Women,Sarees,Multi
dataset/images/6822.jpg,Men,Sandals,Brown
dataset/images/10112.jpg,Women,Sports Shoes,White
dataset/images/15269.jpg,Women,Casual Shoes,Pink
dataset/images/27836.jpg,Men,Belts,Red
dataset/images/55218.jpg,Women,Lip Liner,Black
dataset/images/15770.jpg,Men,Briefs,Grey
dataset/images/59577.jpg,Men,Cufflinks,Steel
dataset/images/4732.jpg,Men,Flip Flops,White
dataset/images/52797.jpg,Men,Wallets,Brown
dataset/images/26794.jpg,Men,Shirts,Grey
dataset/images/17646.jpg,Unisex,Flip Flops,Green
dataset/images/42081.jpg,Men,Wallets,Brown
dataset/images/9461.jpg,Men,Shirts,White
dataset/images/42909.jpg,Women,Belts,Brown
dataset/images/7484.jpg,Women,Tshirts,Pink
dataset/images/22475.jpg,Men,Tshirts,Green
dataset/images/4735.jpg,Men,Casual Shoes,Brown
dataset/images/45145.jpg,Men,Watches,White
dataset/images/2785.jpg,Men,Tshirts,Black
dataset/images/16664.jpg,Men,Sweatshirts,Black
dataset/images/40164.jpg,Men,Sunglasses,Black
dataset/images/55854.jpg,Women,Nail Polish,Pink
dataset/images/43677.jpg,Women,Dresses,Navy Blue
dataset/images/40621.jpg,Women,Kurtas,Green
dataset/images/3367.jpg,Women,Sports Shoes,White
dataset/images/20596.jpg,Women,Wallets,Grey
dataset/images/22828.jpg,Men,Casual Shoes,Black
dataset/images/26103.jpg,Men,Shirts,Black
dataset/images/31245.jpg,Men,Tshirts,White
dataset/images/26229.jpg,Men,Tshirts,Black
dataset/images/6066.jpg,Men,Tshirts,Black
dataset/images/15171.jpg,Men,Tshirts,Blue
dataset/images/54095.jpg,Men,Caps,White
dataset/images/12773.jpg,Women,Tunics,Green
dataset/images/50722.jpg,Girls,Dresses,Pink
dataset/images/37879.jpg,Unisex,Socks,Black
dataset/images/24917.jpg,Men,Tshirts,White
dataset/images/50851.jpg,Women,Sarees,Maroon
dataset/images/7040.jpg,Men,Casual Shoes,Navy Blue
dataset/images/33362.jpg,Women,Wallets,Black
dataset/images/37483.jpg,Women,Watches,White
dataset/images/11518.jpg,Women,Heels,Grey
dataset/images/28516.jpg,Men,Tshirts,Red
dataset/images/28934.jpg,Men,Tshirts,Charcoal
dataset/images/32001.jpg,Men,Socks,Navy Blue
dataset/images/18269.jpg,Women,Tunics,Black
dataset/images/34908.jpg,Women,Dupatta,Black
dataset/images/13895.jpg,Men,Shirts,Yellow
dataset/images/18261.jpg,Women,Kurtas,Blue
dataset/images/12852.jpg,Men,Shirts,Green
dataset/images/6152.jpg,Men,Casual Shoes,White
dataset/images/3507.jpg,Men,Shorts,Black
dataset/images/17142.jpg,Women,Handbags,Brown
dataset/images/53676.jpg,Women,Handbags,Black
dataset/images/12134.jpg,Women,Kurtas,Pink
dataset/images/51799.jpg,Women,Nightdress,Blue
dataset/images/38005.jpg,Men,Watches,Pink
dataset/images/42643.jpg,Women,Kurtas,Brown
dataset/images/5973.jpg,Men,Shirts,Black
dataset/images/3800.jpg,Unisex,Tshirts,Pink
dataset/images/31103.jpg,Boys,Tshirts,Black
dataset/images/10791.jpg,Men,Shirts,Black
dataset/images/38209.jpg,Women,Sunglasses,Silver
dataset/images/10184.jpg,Men,Shirts,White
dataset/images/34337.jpg,Men,Tshirts,Purple
dataset/images/22840.jpg,Men,Casual Shoes,Brown
dataset/images/28080.jpg,Men,Briefs,Charcoal
dataset/images/1916.jpg,Men,Sports Shoes,Black
dataset/images/10621.jpg,Women,Flats,Silver
dataset/images/33561.jpg,Women,Tshirts,Green
dataset/images/4439.jpg,Unisex,Casual Shoes,White
dataset/images/46686.jpg,Women,Perfume and Body Mist,White
dataset/images/6190.jpg,Women,Tops,Grey
dataset/images/7724.jpg,Men,Casual Shoes,White
dataset/images/2631.jpg,Women,Flats,White
dataset/images/19043.jpg,Women,Heels,Blue
dataset/images/57961.jpg,Women,Sarees,Black
dataset/images/9563.jpg,Men,Shirts,Blue
dataset/images/10425.jpg,Men,Shirts,Green
dataset/images/21165.jpg,Women,Tops,Navy Blue
dataset/images/46560.jpg,Men,Watches,Black
dataset/images/22097.jpg,Men,Casual Shoes,White
dataset/images/7654.jpg,Men,Socks,Grey
dataset/images/5300.jpg,Unisex,Backpacks,Yellow
dataset/images/29922.jpg,Men,Watches,Black
dataset/images/3646.jpg,Men,Casual Shoes,Black
dataset/images/9827.jpg,Women,Tshirts,White
dataset/images/39332.jpg,Boys,Tshirts,White
dataset/images/22388.jpg,Men,Shirts,Blue
dataset/images/22598.jpg,Women,Tshirts,Purple
dataset/images/30804.jpg,Men,Shirts,Rust
dataset/images/3886.jpg,Men,Tshirts,Blue
dataset/images/34288.jpg,Women,Dupatta,Off White
dataset/images/35511.jpg,Men,Flip Flops,Black
dataset/images/2867.jpg,Men,Tshirts,Black
dataset/images/55424.jpg,Women,Lipstick,Pink
dataset/images/21487.jpg,Women,Handbags,Black
dataset/images/48825.jpg,Women,Pendant,Silver
dataset/images/32598.jpg,Women,Tops,Orange
dataset/images/44858.jpg,Men,Tshirts,Red
dataset/images/26345.jpg,Women,Watches,Black
dataset/images/44239.jpg,Men,Flip Flops,Brown
dataset/images/37728.jpg,Men,Shirts,Green
dataset/images/27423.jpg,Women,Lounge Shorts,Magenta
dataset/images/26871.jpg,Women,Tops,White
dataset/images/4295.jpg,Men,Tshirts,Orange
dataset/images/42804.jpg,Women,Briefs,Grey
dataset/images/28157.jpg,Men,Sunglasses,Gold
dataset/images/47660.jpg,Women,Tunics,White
dataset/images/13634.jpg,Women,Lounge Pants,White
dataset/images/29981.jpg,Women,Free Gifts,Blue
dataset/images/34600.jpg,Women,Dresses,Pink
dataset/images/50854.jpg,Women,Sarees,White
dataset/images/14359.jpg,Women,Heels,Copper
dataset/images/15736.jpg,Men,Casual Shoes,White
dataset/images/17864.jpg,Men,Briefs,Black
dataset/images/20272.jpg,Women,Heels,Silver
dataset/images/42075.jpg,Men,Wallets,Black
dataset/images/50731.jpg,Men,Sandals,Black
dataset/images/29440.jpg,Men,Watches,Steel
dataset/images/15311.jpg,Men,Sandals,Beige
dataset/images/53921.jpg,Women,Handbags,Brown
dataset/images/59100.jpg,Women,Briefs,Purple
dataset/images/41851.jpg,Men,Socks,Black
dataset/images/2251.jpg,Men,Flip Flops,Brown
dataset/images/28246.jpg,Men,Deodorant,Red
dataset/images/59987.jpg,Women,Dresses,Black
dataset/images/7558.jpg,Men,Tshirts,Grey
dataset/images/57093.jpg,Women,Shorts,Blue
dataset/images/14628.jpg,Women,Sweatshirts,Blue
dataset/images/33662.jpg,Men,Sandals,Black
dataset/images/21006.jpg,Women,Belts,Black
dataset/images/33702.jpg,Men,Formal Shoes,Black
dataset/images/29882.jpg,Men,Sunglasses,Brown
dataset/images/8824.jpg,Men,Shirts,Black
dataset/images/24855.jpg,Women,Tops,Red
dataset/images/12613.jpg,Men,Tshirts,Black
dataset/images/32530.jpg,Men,Deodorant,Blue
dataset/images/12860.jpg,Men,Formal Shoes,Black
dataset/images/8546.jpg,Women,Flip Flops,Brown
dataset/images/47534.jpg,Women,Flats,Turquoise Blue
dataset/images/34400.jpg,Men,Tshirts,Black
dataset/images/59433.jpg,Women,Clutches,Red
dataset/images/48256.jpg,Boys,Tshirts,Navy Blue
dataset/images/9201.jpg,Men,Sports Shoes,White
dataset/images/33910.jpg,Men,Watches,Silver
dataset/images/31689.jpg,Women,Sports Shoes,Grey
dataset/images/16751.jpg,Women,Clutches,Copper
dataset/images/52440.jpg,Women,Nightdress,Black
dataset/images/9477.jpg,Men,Shirts,Black
dataset/images/17243.jpg,Men,Tshirts,Black
dataset/images/49133.jpg,Women,Lipstick,Pink
dataset/images/34229.jpg,Men,Tshirts,Grey
dataset/images/16858.jpg,Men,Sunglasses,Black
dataset/images/17558.jpg,Men,Shirts,Blue
dataset/images/25540.jpg,Men,Shirts,Blue
dataset/images/42813.jpg,Women,Briefs,Navy Blue
dataset/images/40666.jpg,Women,Tops,Navy Blue
dataset/images/55292.jpg,Women,Lip Gloss,Pink
dataset/images/7044.jpg,Men,Casual Shoes,Grey
dataset/images/37687.jpg,Unisex,Backpacks,Brown
dataset/images/18598.jpg,Men,Sports Sandals,Navy Blue
dataset/images/38598.jpg,Men,Tshirts,Purple
dataset/images/15160.jpg,Men,Tshirts,Orange
dataset/images/46726.jpg,Women,Perfume and Body Mist,Silver
dataset/images/21150.jpg,Men,Shirts,Blue
dataset/images/57412.jpg,Women,Briefs,Pink
dataset/images/4056.jpg,Men,Tshirts,White
dataset/images/4969.jpg,Men,Tshirts,Blue
dataset/images/41608.jpg,Men,Shirts,Blue
dataset/images/30594.jpg,Unisex,Caps,Green
dataset/images/42109.jpg,Men,Tshirts,Black
dataset/images/42959.jpg,Men,Belts,Black
dataset/images/44636.jpg,Men,Tshirts,White
dataset/images/3854.jpg,Girls,Tshirts,Pink
dataset/images/39057.jpg,Men,Cufflinks,Steel
dataset/images/4614.jpg,Unisex,Handbags,Blue
dataset/images/13328.jpg,Men,Shirts,Green
dataset/images/2921.jpg,Women,Tshirts,Multi
dataset/images/15468.jpg,Men,Tshirts,Blue
dataset/images/29529.jpg,Women,Watches,Black
dataset/images/52325.jpg,Women,Bangle,Orange
dataset/images/31297.jpg,Women,Tshirts,Black
dataset/images/8527.jpg,Men,Sandals,Black
dataset/images/28159.jpg,Men,Sunglasses,Metallic
dataset/images/38534.jpg,Men,Casual Shoes,Brown
dataset/images/9483.jpg,Unisex,Backpacks,Red
dataset/images/3197.jpg,Men,Tshirts,Maroon
dataset/images/39781.jpg,Men,Shirts,White
dataset/images/6798.jpg,Men,Socks,Black
dataset/images/14141.jpg,Men,Cufflinks,Steel
dataset/images/11652.jpg,Men,Watches,Black
dataset/images/30144.jpg,Women,Tshirts,Black
dataset/images/10173.jpg,Men,Sandals,Brown
dataset/images/5834.jpg,Men,Tshirts,White
dataset/images/50047.jpg,Women,Bra,Skin
dataset/images/43109.jpg,Women,Perfume and Body Mist,Blue
dataset/images/5003.jpg,Women,Shorts,Blue
dataset/images/36813.jpg,Men,Perfume and Body Mist,Black
dataset/images/37586.jpg,Girls,Innerwear Vests,Pink
dataset/images/20522.jpg,Women,Handbags,Black
dataset/images/13437.jpg,Men,Tshirts,Grey
dataset/images/34133.jpg,Men,Wallets,Brown
dataset/images/15992.jpg,Men,Shirts,Blue
dataset/images/56086.jpg,Women,Lip Gloss,Brown
dataset/images/39939.jpg,Men,Casual Shoes,White
dataset/images/6110.jpg,Men,Tshirts,Purple
dataset/images/19816.jpg,Men,Sweatshirts,Grey
dataset/images/9350.jpg,Men,Socks,White
dataset/images/5153.jpg,Women,Tshirts,White
dataset/images/57865.jpg,Women,Sunscreen,Yellow
dataset/images/8581.jpg,Men,Waistcoat,Black
dataset/images/12680.jpg,Unisex,Caps,Navy Blue
dataset/images/27808.jpg,Men,Belts,Black
dataset/images/11588.jpg,Women,Kurtis,Green
dataset/images/27933.jpg,Women,Shirts,Pink
dataset/images/36288.jpg,Women,Night suits,Pink
dataset/images/58685.jpg,Women,Kurtas,Black
dataset/images/18179.jpg,Girls,Tops,Black
dataset/images/26536.jpg,Men,Casual Shoes,White
dataset/images/6562.jpg,Men,Tshirts,Green
dataset/images/53438.jpg,Men,Sports Shoes,Black
dataset/images/14379.jpg,Women,Heels,Beige
dataset/images/13909.jpg,Men,Sandals,Black
dataset/images/29223.jpg,Men,Socks,White
dataset/images/44747.jpg,Men,Casual Shoes,Black
dataset/images/27046.jpg,Women,Handbags,Brown
dataset/images/24835.jpg,Men,Casual Shoes,Brown
dataset/images/15634.jpg,Men,Tshirts,Navy Blue
dataset/images/6196.jpg,Men,Tshirts,Black
dataset/images/54168.jpg,Women,Necklace and Chains,Silver
dataset/images/23966.jpg,Men,Tshirts,Purple
dataset/images/8598.jpg,Men,Tshirts,Green
dataset/images/42415.jpg,Women,Kurtas,White
dataset/images/46609.jpg,Women,Heels,Tan
dataset/images/19310.jpg,Men,Sports Shoes,White
dataset/images/53211.jpg,Men,Shirts,Blue
dataset/images/15216.jpg,Women,Handbags,Grey
dataset/images/7451.jpg,Men,Tshirts,White
dataset/images/20886.jpg,Men,Sports Shoes,Black
dataset/images/5019.jpg,Women,Skirts,Navy Blue
dataset/images/31085.jpg,Women,Stoles,Brown
dataset/images/39302.jpg,Men,Casual Shoes,Brown
dataset/images/50167.jpg,Women,Heels,Brown
dataset/images/29042.jpg,Men,Track Pants,Black
dataset/images/28549.jpg,Women,Tshirts,Blue
dataset/images/34342.jpg,Men,Tshirts,Purple
dataset/images/5573.jpg,Men,Sports Shoes,Grey
dataset/images/58500.jpg,Women,Tops,White
dataset/images/27273.jpg,Women,Tunics,Grey
dataset/images/45009.jpg,Men,Watches,Steel
dataset/images/24414.jpg,Men,Sports Shoes,White
dataset/images/7381.jpg,Men,Formal Shoes,Brown
dataset/images/37334.jpg,Women,Watches,White
dataset/images/57655.jpg,Women,Nail Polish,Brown
dataset/images/53506.jpg,Women,Bra,Black
dataset/images/14387.jpg,Women,Heels,Beige
dataset/images/19648.jpg,Women,Tops,Brown
dataset/images/7204.jpg,Women,Tops,Purple
dataset/images/8669.jpg,Unisex,Sunglasses,Green
dataset/images/10692.jpg,Men,Tshirts,Red
dataset/images/38575.jpg,Men,Track Pants,Black
dataset/images/7107.jpg,Unisex,Backpacks,Olive
dataset/images/2163.jpg,Men,Shirts,Red
dataset/images/5119.jpg,Women,Tshirts,Beige
dataset/images/19477.jpg,Men,Jackets,Blue
dataset/images/48732.jpg,Men,Bangle,Steel
dataset/images/57720.jpg,Women,Lip Gloss,Pink
dataset/images/11465.jpg,Men,Shirts,Blue
dataset/images/2114.jpg,Women,Track Pants,Black
dataset/images/21711.jpg,Men,Watches,Grey
dataset/images/31822.jpg,Men,Watches,Black
dataset/images/30501.jpg,Women,Bra,Purple
dataset/images/38167.jpg,Women,Sunglasses,Brown
